SWSID,Cat1_Count,Cat2_Count,Cat4A_Count,Cat4B_Count,Cat4C_Count,Cat5_Count,305b_Listings_Cat4+5,ApprovedTMDLCount,DevelopingTMDLCount,FishPassageCount,CriticalHabitatLength_ft,ShellfishCount,SwimmingBeachPercentage,SwimmingTributaryPercentage,CohoPresence,UrbanGrowthBoundaryPercentage,ICIAreaPercentage,RoadwayLength_ft,SidewalkLength_ft,CrashesCount,CrashDensity,SidewalkDensity,PercentBuiltBefore1990,PercentImpervious,MeanFlowDurationIndex,HeatIndex,MedianOpportunityIndex,MeanAnnualAvgDailyTrips,Median2018EquityScore,MedianPavementCondition,MedianSpawnerMortality,WQBETotalCopper,WQBETotalZinc,WQBETotalNitrogen,WQBETotalPhosphorus,WQBETotalSuspendedSolids,WQBETotalPCB,WQBETotalPBDE,WQBETotalPAH,WQBE_BEHP,WQBEFecalColiformBacteria,WQBEAnnualRunoff,UrbanHeat,MeanAnnualTSSLoad,MeanAnnualCopperLoad,MeanAnnualPhosphorusLoad,MeanAnnualZincLoad,MeanAnnualTKNLoad,Average_BIBI,FacilitiesCount,BRE_FaciltiesCount,DrainagetoPSensitiveLake
1000130.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,1.00,0.00,3167.84,0.00,9.00,0.00,0.00,0.49,0.12,6.62,78.14,0.41,2101.42,3.00,0.00,0.34,0.40,1.80,57.70,4.60,1804.50,0.00,0.00,0.00,0.10,0.10,1707937.00,16.25,4.90,1.20,7.80,7.20,162.60,72.00,1.00,0.00,0.00
1000140.00,2.00,1.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,9709.32,0.00,,,0.34,0.19,5.73,78.14,0.25,2959.00,2.17,,0.29,1.40,6.90,212.80,16.80,7205.00,0.00,0.00,0.10,0.40,0.40,6161770.00,13.99,7.10,1.20,11.50,10.60,191.70,0.00,0.00,0.00,1.00
1000150.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,1.00,1.00,0.00,0.00,11528.20,0.00,,,0.19,0.19,5.60,78.14,0.25,952.84,2.17,,0.34,2.30,11.80,466.00,35.80,12690.30,0.00,0.00,0.20,0.60,0.70,13774889.00,13.92,7.30,1.40,9.20,10.00,205.90,0.00,0.00,0.00,1.00
1000160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,1.00,0.00,0.00,0.00,0.00,,,0.03,0.15,5.21,78.14,0.25,41.92,2.33,,0.24,2.10,10.90,237.60,19.80,9632.70,0.00,0.00,0.10,0.50,0.60,6567602.00,12.99,4.00,0.20,6.10,3.90,80.30,0.00,0.00,0.00,1.00
1000170.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,1.00,0.00,0.00,0.00,0.00,,,0.18,0.14,4.85,78.28,0.25,1069.57,2.33,,0.29,1.10,5.70,270.90,20.20,6862.60,0.00,0.00,0.10,0.30,0.40,7570544.00,14.60,4.80,0.70,6.60,6.40,126.50,0.00,0.00,0.00,0.00
1000180.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,4.00,1.00,0.00,6544.53,93.09,16.00,0.00,0.01,0.43,0.04,2.83,78.14,0.32,813.70,2.83,35.00,0.24,0.20,1.10,41.70,3.30,1091.30,0.00,0.00,0.00,0.10,0.10,1269610.00,14.72,2.00,0.20,2.80,2.10,43.50,0.00,1.00,0.00,0.00
1000190.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,4358.54,447.88,6.00,0.00,0.10,0.38,0.03,2.51,78.14,0.21,690.73,2.00,63.00,0.24,0.20,0.90,21.40,1.80,795.00,0.00,0.00,0.00,0.00,0.00,669736.00,14.45,1.90,0.20,2.50,2.00,48.40,0.00,2.00,0.00,0.00
1000200.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,3.00,1.00,0.00,20803.40,542.64,80.00,0.00,0.03,0.45,0.06,4.62,78.14,0.30,1113.69,2.00,39.00,0.23,1.30,6.70,210.20,16.90,6518.20,0.00,0.00,0.10,0.30,0.40,5988604.00,13.66,3.60,0.30,5.90,3.70,92.30,0.00,3.00,0.00,0.00
1000210.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,10749.00,12311.50,6.00,0.00,1.15,0.06,0.01,1.96,78.14,0.16,63.53,2.00,73.50,0.24,0.90,4.80,107.00,9.00,3655.00,0.00,0.00,0.10,0.20,0.30,3096667.00,11.54,2.70,0.10,1.50,2.20,51.70,0.00,7.00,4.00,0.00
1000220.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,881.17,138.52,1.00,0.00,0.16,0.25,0.03,1.73,78.14,0.16,56.29,2.00,62.00,0.12,1.60,8.20,141.80,12.70,5849.50,0.00,0.00,0.10,0.30,0.50,4000646.00,10.15,2.30,0.10,0.90,1.50,41.70,0.00,3.00,3.00,0.00
1000230.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.91,4.00,1.00,0.00,3601.76,0.00,22.00,0.01,0.00,0.45,0.02,3.41,78.14,0.45,1034.19,2.00,87.00,0.21,0.60,3.30,83.60,6.80,2902.70,0.00,0.00,0.00,0.20,0.20,2410228.00,11.66,2.20,0.10,3.20,1.90,45.90,0.00,0.00,0.00,0.00
