SWSID,Cat1_Count,Cat2_Count,Cat4A_Count,Cat4B_Count,Cat4C_Count,Cat5_Count,305b_Listings_Cat4+5,ApprovedTMDLCount,DevelopingTMDLCount,FishPassageCount,CriticalHabitatLength_ft,ShellfishCount,SwimmingBeachPercentage,SwimmingTributaryPercentage,CohoPresence,UrbanGrowthBoundaryPercentage,ICIAreaPercentage,RoadwayLength_ft,SidewalkLength_ft,CrashesCount,CrashDensity,SidewalkDensity,PercentBuiltBefore1990,PercentImpervious,MeanFlowDurationIndex,HeatIndex,MedianOpportunityIndex,MeanAnnualAvgDailyTrips,Median2018EquityScore,MedianPavementCondition,MedianSpawnerMortality,WQBETotalCopper,WQBETotalZinc,WQBETotalNitrogen,WQBETotalPhosphorus,WQBETotalSuspendedSolids,WQBETotalPCB,WQBETotalPBDE,WQBETotalPAH,WQBE_BEHP,WQBEFecalColiformBacteria,WQBEAnnualRunoff,UrbanHeat,MeanAnnualTSSLoad,MeanAnnualCopperLoad,MeanAnnualPhosphorusLoad,MeanAnnualZincLoad,MeanAnnualTKNLoad,Average_BIBI,FacilitiesCount,BRE_FaciltiesCount,DrainagetoPSensitiveLake
1002940.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,14.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,25732.90,0.00,8.00,0.00,0.00,0.41,0.01,3.16,78.14,0.10,72.25,1.67,51.00,0.18,0.60,3.10,217.80,16.00,5271.50,0.00,0.00,0.10,0.30,0.20,7086036.00,10.13,3.00,0.00,1.30,1.40,57.90,0.00,3.00,0.00,0.00
1002950.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,1.00,0.00,2253.15,0.00,2.00,0.00,0.00,0.35,0.05,3.42,78.14,0.08,77.99,1.67,71.00,0.20,0.20,1.00,61.90,4.50,1449.40,0.00,0.00,0.00,0.10,0.10,1848589.00,11.62,3.30,0.10,3.30,2.40,62.40,0.00,4.00,2.00,0.00
1002960.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,7.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,8933.21,0.00,10.00,0.00,0.00,0.40,0.04,3.21,78.14,0.17,743.18,1.67,0.00,0.18,1.20,8.40,150.40,16.30,6623.10,0.00,0.00,0.00,0.20,0.80,4771626.00,12.57,2.40,0.10,3.20,1.80,45.70,0.00,4.00,2.00,0.00
1002970.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,8103.04,0.00,22.00,0.00,0.00,0.03,0.02,2.97,78.14,0.17,811.26,1.67,0.00,0.23,1.60,11.70,152.20,19.40,9527.70,0.00,0.00,0.10,0.30,1.40,4379853.00,12.71,2.80,0.20,3.60,2.80,63.40,0.00,4.00,0.00,0.00
1002980.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,3.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,687.84,0.00,1.00,0.00,0.00,0.18,0.00,1.69,78.14,0.40,254.03,1.83,46.50,0.21,0.10,0.30,27.20,2.10,752.30,0.00,0.00,0.00,0.00,0.00,2109952.00,8.85,0.80,0.00,0.40,0.40,15.70,0.00,0.00,0.00,0.00
1002990.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,6783.20,204.63,9.00,0.00,0.03,0.55,0.02,2.88,78.14,0.40,564.30,1.83,41.00,0.21,0.20,1.20,75.00,5.50,1551.50,0.00,0.00,0.00,0.10,0.10,2040959.00,10.15,1.70,0.00,1.00,1.20,35.30,0.00,1.00,1.00,0.00
1003000.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,7.00,0.00,0.00,0.00,1.00,4.00,1.00,0.00,10529.60,87.53,52.00,0.00,0.01,0.22,0.00,2.10,78.14,0.40,283.14,1.83,64.00,0.18,0.70,3.30,244.50,18.40,6608.20,0.00,0.00,0.10,0.30,0.30,11905661.00,9.63,1.30,0.00,0.50,0.60,24.60,83.80,1.00,1.00,0.00
1003010.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,,,0.00,0.00,1.57,78.14,0.10,2.04,1.67,,0.20,0.70,3.30,320.10,25.70,19265.30,0.00,0.00,0.20,1.00,0.50,36481482.00,8.36,1.80,0.00,0.40,0.40,31.30,0.00,0.00,0.00,0.00
1003020.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,3.00,0.00,0.00,0.00,1.00,2.00,1.00,0.00,1945.17,0.00,3.00,0.00,0.00,0.15,0.01,2.32,78.14,0.40,787.37,1.83,32.00,0.24,0.40,2.10,71.90,5.80,2194.80,0.00,0.00,0.00,0.10,0.10,3756389.00,8.47,2.30,0.00,1.60,1.40,44.60,0.00,1.00,0.00,0.00
1003030.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,2.00,0.00,0.00,0.00,1.00,3.00,1.00,0.00,1371.23,0.00,0.00,0.00,0.00,0.07,0.00,1.86,78.14,0.40,1044.36,1.83,32.00,0.25,0.20,1.00,55.10,4.30,1703.10,0.00,0.00,0.00,0.10,0.10,3929618.00,9.80,1.90,0.00,1.30,1.30,37.00,0.00,2.00,1.00,0.00
1003040.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,,,0.00,0.00,1.49,78.14,0.10,0.00,1.67,,0.24,0.50,3.50,39.90,5.20,2755.50,0.00,0.00,0.00,0.10,0.30,1940297.00,9.85,1.90,0.00,0.50,1.10,37.50,0.00,0.00,0.00,0.00
1003050.00,1.00,1.00,2.00,0.00,0.00,1.00,3.00,1.00,0.00,3.00,0.00,0.00,0.00,1.00,2.00,1.00,0.00,0.00,0.00,0.00,,,0.17,0.02,1.83,78.14,0.70,165.17,2.00,,0.25,5.10,26.60,387.30,35.90,20619.70,0.00,0.00,0.30,1.20,1.40,10946684.00,7.76,2.50,0.10,1.20,1.80,52.10,0.00,0.00,0.00,0.00
1003060.00,0.00,1.00,1.00,0.00,0.00,1.00,2.00,1.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,,,0.54,0.04,6.11,78.14,0.70,193.47,2.00,,0.26,1.40,7.10,213.50,16.90,6843.90,0.00,0.00,0.10,0.40,0.40,5956397.00,8.24,5.80,0.30,3.70,4.70,139.10,0.00,0.00,0.00,0.00
1003070.00,1.00,1.00,1.00,0.00,0.00,3.00,4.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,,,0.16,0.35,4.98,85.06,0.31,12234.76,2.17,,0.26,8.20,52.10,608.60,68.80,35099.50,0.00,0.00,0.30,1.40,3.40,17383810.00,15.76,13.20,3.80,45.70,27.50,464.40,0.00,0.00,0.00,0.00
1003080.00,0.00,0.00,1.00,0.00,0.00,2.00,3.00,1.00,0.00,2.00,0.00,0.00,0.00,1.00,2.00,1.00,0.00,2106.81,82.22,1.00,0.00,0.04,0.27,0.23,5.40,84.43,0.31,2266.10,2.17,31.00,0.30,3.90,21.60,489.20,42.70,17225.10,0.00,0.00,0.20,0.80,1.40,13505138.00,16.29,9.40,0.60,16.90,12.30,233.50,0.00,0.00,0.00,0.00
1003090.00,0.00,0.00,1.00,0.00,0.00,2.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,3244.52,0.00,1.00,0.00,0.00,0.02,0.11,4.23,83.53,0.31,243.14,2.33,27.50,0.18,1.00,5.20,144.00,11.40,5002.80,0.00,0.00,0.10,0.30,0.30,4010781.00,14.67,3.90,0.10,3.70,3.50,80.70,0.00,1.00,1.00,0.00
1003100.00,0.00,0.00,1.00,0.00,0.00,2.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,35932.50,67.00,,,0.11,0.32,7.55,85.45,0.21,1718.39,2.33,82.50,0.18,2.00,10.60,376.90,29.80,9263.10,0.00,0.00,0.10,0.50,0.70,10401788.00,14.89,9.20,0.50,11.70,10.20,204.40,0.00,3.00,1.00,0.00
1003110.00,0.00,0.00,1.00,0.00,0.00,2.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,4.00,,,0.09,0.06,3.44,82.57,0.21,656.02,2.33,91.00,0.21,1.50,7.50,336.00,25.40,8588.00,0.00,0.00,0.10,0.40,0.50,10184563.00,13.19,3.10,0.10,3.30,2.50,54.70,0.00,0.00,0.00,0.00
1003120.00,1.00,2.00,2.00,0.00,0.00,2.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,,,0.60,0.39,9.09,84.72,0.47,3926.73,2.67,,0.25,0.50,2.80,72.60,5.90,2403.30,0.00,0.00,0.00,0.10,0.20,1988897.00,13.92,14.70,5.90,34.50,23.60,704.80,0.00,0.00,0.00,0.00
1003130.00,1.00,0.00,1.00,0.00,0.00,1.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,,,0.29,0.36,7.91,82.43,0.31,15887.32,2.33,,0.25,0.60,3.50,53.20,4.90,2348.00,0.00,0.00,0.00,0.10,0.20,1491791.00,14.49,12.50,3.90,29.20,22.80,458.80,0.00,0.00,0.00,0.00
1003140.00,1.00,0.00,1.00,0.00,0.00,1.00,2.00,1.00,0.00,3.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,545.02,0.00,0.00,0.00,0.00,0.00,0.16,4.49,82.11,0.21,9002.83,2.00,78.00,0.24,6.70,35.60,925.20,77.00,31300.50,0.00,0.00,0.30,1.60,2.30,27052445.00,12.33,6.30,0.20,12.50,7.30,131.20,0.00,0.00,0.00,0.00
1003150.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,3908.97,0.00,4.00,0.00,0.00,0.02,0.04,2.19,80.45,0.21,15182.34,2.00,59.00,0.23,0.30,2.00,42.00,3.90,1841.30,0.00,0.00,0.00,0.10,0.10,2082034.00,9.46,4.50,0.20,4.90,3.40,108.40,66.90,0.00,0.00,0.00
1003160.00,2.00,1.00,0.00,0.00,0.00,1.00,1.00,3.00,0.00,4.00,0.00,0.00,0.00,1.00,4.00,1.00,0.00,11530.10,0.00,11.00,0.00,0.00,0.08,0.01,1.78,79.38,0.21,10578.63,2.00,46.00,0.21,1.00,5.20,234.80,18.70,7967.10,0.00,0.00,0.10,0.40,0.40,16107194.00,8.62,1.50,0.00,1.20,0.90,34.00,87.00,0.00,0.00,0.00
1003170.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,9.00,0.00,0.00,0.00,1.00,4.00,1.00,0.00,21214.80,0.00,22.00,0.00,0.00,0.16,0.06,2.73,80.98,0.21,9851.24,2.00,62.00,0.21,6.80,45.10,765.10,82.20,33864.50,0.00,0.00,0.30,1.30,3.70,26010314.00,9.40,3.10,0.10,5.60,2.60,83.20,0.00,15.00,0.00,0.00
1003180.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,688.69,0.00,1.00,0.00,0.00,0.06,0.00,1.67,78.14,0.10,863.23,1.67,67.00,0.20,0.30,1.30,134.80,10.50,6307.80,0.00,0.00,0.10,0.30,0.20,13794567.00,7.47,1.20,0.00,0.30,0.40,22.20,91.60,0.00,0.00,0.00
1003190.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,,,0.00,0.00,1.26,78.14,0.10,0.00,1.67,,0.24,0.00,0.10,11.80,0.90,121.00,0.00,0.00,0.00,0.00,0.00,2843653.00,8.55,1.50,0.00,0.40,0.70,29.30,0.00,0.00,0.00,0.00
1003200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,2754.07,0.00,,,0.22,0.10,3.60,81.81,0.17,811.81,1.50,,0.29,0.10,0.70,51.20,3.70,1046.40,0.00,0.00,0.00,0.00,0.00,1541415.00,8.96,3.90,0.40,5.10,4.90,81.20,0.00,0.00,0.00,0.00
1003210.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,,,0.00,0.00,3.69,78.45,0.15,5319.08,1.00,,0.32,0.20,1.00,11.80,1.10,737.90,0.00,0.00,0.00,0.00,0.00,350319.00,9.20,5.70,0.70,18.60,7.60,152.80,0.00,0.00,0.00,0.00
1003220.00,0.00,1.00,0.00,0.00,0.00,8.00,8.00,0.00,1.00,14.00,0.00,1.00,0.00,0.00,4.00,1.00,0.00,0.00,0.00,0.00,,,0.38,0.42,6.49,78.14,0.33,1675.15,2.67,,0.40,4.70,29.60,474.10,49.20,19426.60,0.00,0.00,0.20,0.80,2.20,13534083.00,17.21,8.90,2.50,18.50,19.60,238.00,18.50,0.00,0.00,0.00
1003230.00,4.00,0.00,3.00,0.00,0.00,1.00,4.00,2.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,,,0.06,0.39,7.05,79.14,0.33,16015.68,3.33,,0.35,0.80,4.30,58.50,5.60,2570.80,0.00,0.00,0.00,0.10,0.20,1701957.00,17.11,15.30,4.50,48.80,43.30,375.30,0.00,0.00,0.00,0.00
1003240.00,4.00,0.00,3.00,0.00,0.00,1.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,,,0.23,0.61,7.06,78.16,0.40,10467.61,2.67,,0.34,1.20,6.80,100.80,10.40,3923.70,0.00,0.00,0.00,0.20,0.50,3472281.00,18.53,13.80,4.20,41.30,36.90,389.30,0.00,0.00,0.00,0.00
1003250.00,6.00,1.00,8.00,0.00,0.00,2.00,10.00,2.00,1.00,5.00,0.00,1.00,0.00,0.00,8.00,1.00,0.00,0.00,0.00,0.00,,,0.35,0.43,7.86,78.14,0.38,2767.40,2.17,,0.30,8.50,48.60,961.10,88.90,35459.70,0.00,0.00,0.30,1.70,3.40,26621891.00,18.03,9.20,2.80,21.90,19.10,297.00,49.25,0.00,0.00,0.00
1003261.00,1.00,1.00,4.00,0.00,0.00,2.00,6.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,1.00,0.00,7618.04,653.10,47.00,0.01,0.09,0.35,0.02,4.12,78.14,0.24,1273.88,2.67,59.00,0.26,0.50,3.60,47.10,5.80,2624.80,0.00,0.00,0.00,0.10,0.30,1391563.00,17.84,3.30,0.40,9.20,4.60,79.60,55.20,1.00,0.00,0.00
1003270.00,1.00,1.00,3.00,0.00,0.00,1.00,4.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,14010.00,347.68,30.00,0.00,0.02,0.31,0.06,5.10,78.14,0.24,383.25,2.67,54.50,0.26,0.70,3.80,102.30,8.50,3047.50,0.00,0.00,0.10,0.20,0.20,2940608.00,16.13,4.40,0.40,8.00,5.50,99.50,0.00,15.00,2.00,0.00
1003280.00,1.00,1.00,3.00,0.00,0.00,2.00,5.00,2.00,1.00,2.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,8675.46,13388.30,2.00,0.00,1.54,0.35,0.18,5.29,79.92,0.15,2424.20,1.33,78.00,0.00,1.30,6.70,297.30,22.60,7232.10,0.00,0.00,0.10,0.30,0.50,8337960.00,12.77,5.90,1.10,12.30,9.80,154.10,52.00,3.00,3.00,0.00
1003290.00,1.00,3.00,5.00,0.00,0.00,2.00,7.00,2.00,0.00,7.00,0.00,1.00,0.00,0.00,2.00,1.00,0.00,14431.90,2367.54,60.00,0.00,0.16,0.40,0.06,4.11,80.74,0.08,2268.15,1.67,92.00,0.26,0.50,2.60,137.30,10.60,3291.10,0.00,0.00,0.10,0.20,0.20,4060988.00,13.10,4.50,0.40,9.30,5.50,110.80,0.00,7.00,3.00,0.00
1003300.00,1.00,3.00,6.00,0.00,0.00,1.00,7.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,1.00,0.00,51788.00,268.69,56.00,0.00,0.01,0.67,0.04,5.76,79.40,0.15,310.07,2.17,35.00,0.26,1.00,5.00,287.10,21.40,6133.20,0.00,0.00,0.10,0.30,0.30,8050092.00,13.19,4.10,0.30,4.00,4.40,91.00,0.00,25.00,22.00,0.00
1003310.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,1533.08,0.00,0.00,0.00,0.00,0.45,0.04,4.25,78.14,0.16,693.98,2.33,26.00,0.27,0.10,0.40,23.30,1.80,514.60,0.00,0.00,0.00,0.00,0.00,651326.00,12.87,2.80,0.10,3.60,2.60,62.80,0.00,0.00,0.00,0.00
1003320.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,2.00,0.00,3.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,52150.50,75544.50,40.00,0.00,1.45,0.08,0.17,5.60,78.14,0.16,334.10,2.33,80.00,0.28,2.40,12.80,451.80,36.20,12346.40,0.00,0.00,0.10,0.60,0.90,12708990.00,13.11,5.70,0.20,8.00,5.80,104.70,0.00,21.00,22.00,0.00
1003330.00,0.00,2.00,2.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,6121.66,18788.10,2.00,0.00,3.07,0.36,0.11,5.60,83.02,0.04,1518.05,1.33,67.00,0.26,3.60,19.30,485.60,40.90,16704.70,0.00,0.00,0.20,0.90,1.10,13805605.00,12.85,5.70,0.50,7.40,7.10,133.90,0.00,15.00,5.00,0.00
1003340.00,0.00,1.00,2.00,0.00,0.00,1.00,3.00,4.00,0.00,11.00,0.00,0.00,0.00,0.00,5.00,1.00,0.00,19286.50,701.85,38.00,0.00,0.04,0.53,0.05,4.38,79.91,0.08,922.62,1.67,64.50,0.26,0.30,1.70,92.30,6.90,2209.00,0.00,0.00,0.00,0.10,0.10,2644663.00,12.22,2.90,0.10,2.40,2.80,61.20,0.00,16.00,12.00,0.00
1003350.00,0.00,1.00,2.00,0.00,0.00,1.00,3.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1940.29,0.00,0.00,0.00,0.00,0.49,0.02,4.46,78.14,0.08,64.08,1.83,96.50,0.28,0.10,0.20,20.10,1.50,344.90,0.00,0.00,0.00,0.00,0.00,602733.00,12.20,3.20,0.10,2.50,2.60,71.40,0.00,5.00,5.00,0.00
1003360.00,0.00,1.00,4.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,10907.70,4651.04,6.00,0.00,0.43,0.15,0.03,3.21,78.14,0.08,59.22,1.83,85.00,0.20,0.20,1.20,76.80,5.70,1534.20,0.00,0.00,0.00,0.10,0.10,2164293.00,12.15,2.10,0.10,1.70,1.70,40.00,0.00,5.00,4.00,0.00
1003370.00,0.00,1.00,2.00,0.00,0.00,0.00,2.00,2.00,0.00,5.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,16136.50,5067.18,12.00,0.00,0.31,0.36,0.08,4.29,78.14,0.15,648.17,1.33,61.00,0.27,0.20,1.10,79.80,5.80,1524.40,0.00,0.00,0.00,0.10,0.10,2233700.00,12.42,3.10,0.10,2.00,2.80,63.30,0.00,7.00,8.00,0.00
1003380.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,5021.02,0.00,17.00,0.00,0.00,0.26,0.10,5.16,78.14,0.08,1317.83,1.33,82.00,0.22,0.10,0.50,46.50,3.40,778.60,0.00,0.00,0.00,0.00,0.10,1651173.00,11.95,3.90,0.20,3.90,3.80,81.10,0.00,4.00,5.00,0.00
1003390.00,0.00,1.00,5.00,0.00,0.00,0.00,5.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,4148.41,10953.40,10.00,0.00,2.64,0.42,0.07,4.50,81.94,0.01,1261.67,1.67,80.00,0.22,1.10,5.60,160.50,13.00,4548.40,0.00,0.00,0.10,0.20,0.30,4539054.00,13.28,4.10,0.30,5.70,4.20,95.70,0.00,4.00,1.00,0.00
1003400.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,3214.25,0.00,,,0.18,0.11,5.78,84.51,0.01,135.28,2.00,,0.28,0.10,0.60,47.50,3.40,786.80,0.00,0.00,0.00,0.00,0.00,1326583.00,14.96,4.80,0.30,4.80,5.20,104.90,0.00,0.00,0.00,0.00
1003410.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,6280.58,0.00,,,0.54,0.18,8.46,84.91,0.04,767.61,1.67,,0.28,0.30,1.30,84.30,6.10,1680.30,0.00,0.00,0.00,0.10,0.10,2315012.00,14.29,9.50,0.90,10.40,11.70,220.90,0.00,0.00,0.00,0.00
1003420.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,33986.60,0.00,,,0.56,0.26,9.77,85.30,0.02,1108.49,1.33,,0.28,1.50,7.30,430.90,31.90,8346.60,0.00,0.00,0.20,0.40,0.40,12020391.00,13.78,10.60,1.00,12.20,12.70,263.70,0.00,0.00,0.00,0.00
1003430.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,18044.30,0.00,12.00,0.00,0.00,0.38,0.08,5.06,78.14,0.16,367.43,2.33,54.00,0.26,0.30,1.60,102.90,7.60,1994.90,0.00,0.00,0.00,0.10,0.10,2868775.00,14.49,4.00,0.30,5.70,4.20,90.00,54.08,12.00,5.00,0.00
1003440.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,6498.73,572.06,42.00,0.01,0.09,0.20,0.03,5.01,78.14,0.24,569.76,2.67,65.00,0.30,0.20,1.00,31.30,2.50,988.40,0.00,0.00,0.00,0.10,0.10,875905.00,16.51,3.60,0.40,8.00,5.10,80.40,50.95,4.00,0.00,0.00
1003450.00,1.00,1.00,3.00,0.00,0.00,1.00,4.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,,,0.52,0.34,5.67,78.14,0.33,689.78,4.00,,0.26,5.30,36.20,425.20,52.50,23646.50,0.00,0.00,0.20,0.90,2.80,12415342.00,18.53,6.40,2.80,17.50,15.00,214.50,0.00,0.00,0.00,0.00
1003460.00,7.00,2.00,11.00,0.00,0.00,2.00,13.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,,,0.68,0.45,8.65,78.14,0.46,5391.67,3.33,,0.30,0.30,1.50,75.40,5.70,1675.60,0.00,0.00,0.00,0.10,0.10,2009925.00,17.52,8.80,2.60,15.30,14.60,297.20,0.00,0.00,0.00,0.00
1003470.00,2.00,1.00,5.00,0.00,0.00,0.00,5.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,4995.20,437.09,86.00,0.02,0.09,0.27,0.13,6.00,78.14,0.33,2448.60,1.67,73.00,0.32,0.10,0.60,31.80,2.30,781.70,0.00,0.00,0.00,0.00,0.00,917856.00,16.54,4.50,0.80,7.70,6.50,129.50,64.10,3.00,0.00,0.00
1003480.00,2.00,3.00,6.00,0.00,0.00,0.00,6.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,6743.33,393.69,49.00,0.01,0.06,0.59,0.13,5.40,78.14,0.33,2047.44,1.67,61.50,0.32,0.20,1.00,60.40,4.50,1420.20,0.00,0.00,0.00,0.10,0.10,1713703.00,16.19,3.90,0.40,7.30,5.60,99.20,0.00,5.00,2.00,0.00
1003490.00,2.00,1.00,8.00,0.00,0.00,0.00,8.00,2.00,1.00,13.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,48280.80,21625.80,49.00,0.00,0.45,0.35,0.15,6.79,78.14,0.24,1272.83,1.67,53.50,0.30,2.90,14.90,712.70,54.30,17611.50,0.00,0.00,0.30,0.90,1.00,20022575.00,15.44,5.40,0.60,9.60,7.50,126.20,43.44,23.00,19.00,0.00
1003500.00,3.00,2.00,6.00,0.00,0.00,0.00,6.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,16932.50,6953.81,107.00,0.01,0.41,0.52,0.10,4.85,78.14,0.16,1548.88,1.67,49.00,0.26,0.40,1.90,87.50,6.60,2264.90,0.00,0.00,0.00,0.10,0.10,2433348.00,14.68,3.30,0.30,4.40,4.00,77.60,0.00,12.00,12.00,0.00
1003510.00,2.00,0.00,3.00,0.00,0.00,0.00,3.00,3.00,0.00,2.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,47909.80,4318.15,139.00,0.00,0.09,0.55,0.08,6.06,78.14,0.01,2229.57,1.33,58.00,0.25,1.50,7.80,309.00,23.80,7914.00,0.00,0.00,0.10,0.40,0.40,8717698.00,13.59,5.00,0.30,6.10,5.60,115.20,0.00,32.00,17.00,0.00
1003520.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,11740.60,63.33,67.00,0.01,0.01,0.74,0.07,7.63,78.14,0.00,846.81,1.33,95.00,0.25,0.30,1.40,69.80,5.20,1604.30,0.00,0.00,0.00,0.10,0.10,1994237.00,12.36,6.00,0.50,6.80,6.00,159.90,0.00,1.00,0.00,0.00
1003530.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,5131.11,0.00,0.00,0.00,0.00,0.66,0.04,5.06,78.14,0.01,42.03,1.33,37.00,0.30,0.20,0.80,61.40,4.50,1174.80,0.00,0.00,0.00,0.10,0.10,1698285.00,13.96,3.10,0.10,2.80,3.10,65.40,0.00,3.00,1.00,0.00
1003540.00,2.00,0.00,5.00,0.00,0.00,1.00,6.00,3.00,1.00,13.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,60501.60,4858.54,84.00,0.00,0.08,0.64,0.11,7.35,78.14,0.02,553.76,1.33,59.00,0.30,0.90,4.50,344.70,25.00,6281.20,0.00,0.00,0.20,0.30,0.20,9638213.00,13.32,5.60,0.40,5.80,6.00,122.60,36.30,8.00,8.00,0.00
1003550.00,1.00,0.00,9.00,0.00,0.00,3.00,12.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,8218.67,630.47,31.00,0.00,0.08,0.40,0.09,6.77,78.14,0.00,997.54,1.33,74.00,0.28,0.60,3.20,86.00,7.00,2707.90,0.00,0.00,0.00,0.20,0.20,5037730.00,12.65,3.70,0.30,5.50,3.90,96.40,0.00,7.00,3.00,1.00
