SWSID,mean
1501680,1.2295791
1501690,1.23269192
1501700,1.233088428
1501710,1.225490876
1502040,1.228626282
1501720,1.213786564
1501790,1.215938397
1501800,1.196271172
1501820,1.205362391
1501730,1.184506823
1501740,1.138405757
1501780,1.143040525
1501750,1.13025008
1501760,1.120615525
1501770,1.103532193
1501810,1.176209973
1501830,1.178794435
1502020,1.187686079
1501840,1.145341359
1501990,1.159815151
1501850,1.136884748
1501870,1.127849271
1501860,1.143132871
1501880,1.132365262
1501890,1.123418661
1501900,1.121824392
1501910,1.124474804
1501920,1.119580417
1501970,1.122443555
1501980,1.120242145
1501930,1.1172406
1501960,1.120659549
1501940,1.109160737
1501950,1.11501147
1502000,1.148185196
1502010,1.158160807
1502030,1.173622924
1502090,1.183352889
1502100,1.183605994
1502110,1.18328071
1502120,1.183556234
1502190,1.183688416
1502130,1.183115584
1502140,1.183341606
1502150,1.183351945
1502160,1.183016771
1502180,1.183426608
1502170,1.182455523
1502210,1.182814204
1502220,1.184073015
1502230,1.183951069
1502240,1.179824131
1502260,1.186230173
1502270,1.177477325
1502250,1.182431518
1502280,1.180102767
1502290,1.175969183
1502310,1.17890798
1502300,1.172922998
1502320,1.18177981
1100010,1.197369218
1100020,1.205833882
1100030,1.207547874
1100060,1.211810037
1100109,1.20918007
1103220,1.209233282
1103310,1.206359632
1103340,1.20472331
1103360,1.205629729
1103370,1.206901699
1103380,1.209573723
1103390,1.20917004
1103400,1.206876599
1103350,1.202301776
1100040,1.209485533
1100050,1.207941574
1103230,1.208316794
1103200,1.210230281
1103240,1.21019331
1103250,1.212273256
1103260,1.212990116
1103290,1.214332726
1103270,1.213145492
1103351,1.211493889
1103300,1.214344537
1103320,1.204109605
1103330,1.20496831
1100001,1.233209929
1100070,1.214122037
1100150,1.215195009
1100170,1.215630452
1100190,1.215701839
1100220,1.215466392
1103010,1.215599901
1103020,1.215676111
1103030,1.215659599
1103070,1.21546628
1103140,1.215303304
1103150,1.214612121
1103160,1.21477833
1103170,1.213879175
1103180,1.21302372
1103210,1.211245098
1100080,1.212484585
1100090,1.207136421
1100110,1.209779704
1100120,1.212671579
1100130,1.205188295
1100140,1.204302629
1100160,1.215227025
1100180,1.215747099
1100200,1.215549505
1100250,1.21650335
1100210,1.215464827
1102940,1.215588149
1103000,1.215194225
1100240,1.217564643
1100230,1.21585914
1100260,1.22588721
1102800,1.229913257
1102810,1.22127454
1102850,1.21918359
1100270,1.240120628
1102290,1.231242901
1100280,1.240760483
1100290,1.245178782
1100300,1.247877068
1102280,1.244380985
1100310,1.253312795
1100320,1.256614985
1100330,1.255824627
1102260,1.250407228
1102270,1.249046226
1100340,1.260554977
1100350,1.267474345
1102150,1.269150454
1100360,1.277479185
1101920,1.276877363
1100370,1.288327193
1100380,1.29481758
1101910,1.290177466
1100390,1.299700499
1101860,1.303980107
1101870,1.301255816
1100400,1.30250713
1101840,1.311756906
1101850,1.30832573
1100410,1.299562472
1100420,1.308826078
1100430,1.308433487
1100440,1.31353392
1101240,1.315014734
1100450,1.311845849
1100460,1.305468025
1101230,1.310902186
1100470,1.291886645
1100480,1.297771365
1100490,1.300480731
1101190,1.298806532
1101200,1.306987917
1101210,1.293845073
1101220,1.30165402
1100500,1.301757607
1100840,1.300097188
1101130,1.303238236
1100510,1.302733502
1100520,1.306602049
1100770,1.294531864
1100530,1.301887048
1100540,1.308938346
1100670,1.297767255
1100550,1.303434625
1100560,1.303296059
1100660,1.319003397
1100570,1.283196622
1100580,1.262453674
1100650,1.259410207
1100590,1.248377431
1100600,1.243033368
1100610,1.240159059
1100620,1.235397381
1100630,1.220709203
1100680,1.29173653
1100690,1.269214717
1100730,1.285021035
1100700,1.263530757
1100710,1.234900129
1100720,1.230980884
1100740,1.282361019
1100750,1.272056887
1100760,1.253232208
1100780,1.29221504
1100790,1.29167265
1100800,1.286336338
1100810,1.281780484
1100820,1.282325292
1100830,1.276102164
1100850,1.295183217
1100860,1.288380497
1101120,1.290995582
1100870,1.279906748
1101100,1.283340344
1100880,1.27643629
1100890,1.275029773
1101090,1.274410268
1100900,1.273798814
1101080,1.276151821
1100910,1.274558589
1100920,1.276454337
1101060,1.276278586
1100930,1.276553641
1100940,1.276029678
1100950,1.2751486
1101040,1.275520677
1100960,1.268575579
1100990,1.272825504
1101030,1.271175433
1100970,1.260980071
1100980,1.246642732
1101000,1.269137206
1101020,1.266731313
1101010,1.245521663
1101050,1.275356346
1101070,1.276736277
1101110,1.280102315
1101140,1.305715598
1101150,1.313978423
1101160,1.312423323
1101170,1.310310879
1101180,1.31159145
1101250,1.316169023
1101260,1.316323046
1101790,1.315344535
1101270,1.31405277
1101620,1.313950569
1101280,1.312921306
1101470,1.313354604
1101290,1.307558501
1101440,1.305354415
1101300,1.290144675
1101340,1.292128374
1101310,1.279537231
1101320,1.266291952
1101330,1.270914515
1001229,1.261917408
1101350,1.279963427
1101430,1.270905583
1101360,1.26734062
1101420,1.270650922
1101370,1.262914964
1101410,1.264775044
1101380,1.262404318
1101400,1.262938342
1101390,1.260085374
1101450,1.297237461
1101460,1.285169596
1101480,1.306969346
1101490,1.303188831
1101500,1.289140791
1101590,1.295435707
1101510,1.266731606
1101560,1.273220678
1101520,1.292171944
1101540,1.273353066
1101530,1.288096457
1101550,1.282373891
1101570,1.264723511
1101580,1.259531643
1101600,1.295478168
1101610,1.301777527
1101630,1.311913062
1101640,1.308141481
1101740,1.311337188
1101650,1.312098829
1101660,1.316546115
1101710,1.316591133
1101670,1.322419238
1101680,1.321332448
1101700,1.319003612
1101690,1.321032196
1101720,1.316090409
1101730,1.313345014
1101750,1.307795552
1101770,1.309348268
1101760,1.304762128
1101780,1.308542122
1101800,1.307562619
1101830,1.308327671
1101810,1.289010045
1101820,1.292882376
1101880,1.307766479
1101900,1.301212214
1101890,1.312936553
1101930,1.284099539
1102100,1.284035051
1102110,1.285381879
1102130,1.280291545
1101940,1.289781526
1101950,1.282952273
1101960,1.287227101
1102070,1.294232207
1101970,1.287055186
1101980,1.282172443
1101990,1.283169151
1102000,1.283121394
1102010,1.284009988
1102020,1.284066653
1102030,1.279834574
1102040,1.284014527
1102060,1.28149544
1102050,1.280364214
1102080,1.293523268
1102090,1.295378406
1102120,1.286269572
1102140,1.280996375
1102160,1.275082412
1102170,1.276192546
1102200,1.278521412
1102220,1.273333094
1102240,1.270563003
1102180,1.277508292
1102190,1.279063335
1102210,1.279404718
1102230,1.273007302
1102250,1.266755546
1102300,1.233537579
1102310,1.239687966
1102770,1.236558325
1102320,1.241850967
1102330,1.242389884
1102350,1.242198262
1102360,1.243312241
1102340,1.245131112
1102370,1.246154179
1102440,1.244384815
1102380,1.249882834
1102420,1.247721147
1102430,1.242821889
1102390,1.258641381
1102410,1.254667769
1102400,1.261565071
1102450,1.248559163
1102460,1.249382427
1102470,1.247294636
1102760,1.25257173
1102480,1.24780777
1102640,1.250391801
1102490,1.251785374
1102520,1.254186319
1102620,1.251438508
1102630,1.251520305
1102500,1.260951527
1102510,1.256438422
1102530,1.264641586
1102610,1.253143756
1102540,1.272481745
1102600,1.2689365
1102550,1.282079916
1102590,1.277010852
1102560,1.292650192
1102570,1.28837906
1102580,1.280708068
1102650,1.259861657
1102730,1.260669296
1102740,1.25862461
1102750,1.25755753
1102660,1.262563186
1102720,1.264538335
1102670,1.269130368
1102710,1.26516452
1102680,1.274373956
1102690,1.271524374
1102700,1.274718909
1102780,1.233029497
1102790,1.236231877
1102820,1.223448712
1102840,1.223039671
1102830,1.230473946
1102860,1.222185036
1102900,1.219813415
1102870,1.224091846
1102880,1.227154698
1102890,1.231894235
1102910,1.222703742
1102920,1.227197806
1102930,1.232675398
1102950,1.215668624
1102990,1.215553648
1102960,1.216630184
1102970,1.216619933
1102980,1.219851851
1103040,1.215610775
1103050,1.21555137
1103060,1.215512833
1103080,1.214993568
1103090,1.215461492
1103100,1.215323173
1103130,1.215586561
1103110,1.215334071
1103120,1.21577119
1103190,1.213265035
1000030,1.192442394
1000040,1.194838616
1000320,1.218246897
1000330,1.212705069
1000340,1.213536546
1000350,1.16723436
1000360,1.208514692
1000380,1.184930728
1000400,1.189380289
1000410,1.215375949
1000420,1.162613103
1000430,1.174786351
1000510,1.175906933
1000520,1.220925316
1001360,1.196954665
1001370,1.155515829
1001390,1.180911674
1001400,1.189850903
1001410,1.185321775
1001420,1.186664549
1001430,1.179013445
1001440,1.188247398
1001450,1.183526676
1001460,1.178805689
1001470,1.183882936
1001480,1.17903849
1001500,1.176909603
1001510,1.190092111
1001520,1.164565109
1003930,1.209186595
1003940,1.221719167
1003950,1.177539489
1003960,1.202378413
1003970,1.202537749
1003980,1.201965647
1003990,1.178027923
1004000,1.169867411
1004010,1.178644317
1004020,1.175726431
1004040,1.176870587
1004090,1.190842775
1004100,1.159398381
1004110,1.160755312
1004120,1.173128493
1004130,1.190294542
1004150,1.190383741
1004160,1.17356146
1004190,1.162998174
1004210,1.166577056
1004220,1.16418524
1004230,1.169234589
1004240,1.167392337
1004250,1.187211188
1004260,1.191579266
1004271,1.196099227
1004280,1.170586869
1000050,1.196504772
1000310,1.192476514
1000060,1.194737621
1000300,1.191998638
1000070,1.197059945
1000100,1.193751549
1000080,1.200781147
1000090,1.205278958
1000110,1.190948099
1000120,1.192713419
1000130,1.193504416
1000140,1.190625337
1000170,1.192228602
1000150,1.189739901
1000160,1.190239797
1000180,1.197222088
1000290,1.199575653
1000190,1.201575025
1000270,1.19252703
1000280,1.216008817
1000200,1.211226969
1000210,1.19756779
1000220,1.197483781
1000230,1.211080213
1000240,1.219138329
1000260,1.202066957
1000250,1.227757592
1000370,1.214778414
1000381,1.187960316
1000390,1.180063239
1000440,1.172787678
1000450,1.172259234
1000460,1.1737382
1000480,1.17138455
1000490,1.16993963
1000500,1.170010244
1000470,1.173972594
1000530,1.231222571
1000540,1.239983198
1001330,1.244609471
1000550,1.242229281
1000580,1.250915158
1000560,1.222188133
1000570,1.22900301
1000590,1.251569788
1000600,1.255263114
1000640,1.241664757
1000610,1.259283675
1000620,1.260924901
1000630,1.262247002
1000650,1.253426323
1000710,1.25003207
1001300,1.237251483
1001320,1.234389672
1000660,1.257329178
1000670,1.260256651
1000700,1.258542062
1000680,1.261805004
1000690,1.260772002
1000720,1.242340905
1001260,1.255193265
1001270,1.241615746
1000730,1.232369587
1000740,1.24372747
1001240,1.238704351
1000750,1.244421313
1000760,1.240523172
1000800,1.241715339
1000810,1.243673549
1000770,1.239859229
1000780,1.239723681
1000790,1.238779779
1000820,1.242105871
1000910,1.246368376
1000830,1.245362681
1000890,1.23942103
1000900,1.239821309
1000840,1.246316686
1000850,1.243643316
1000860,1.242337649
1000880,1.240208648
1000870,1.247331393
1000920,1.252551907
1001140,1.250069589
1000930,1.250882428
1000960,1.264416351
1000940,1.245363017
1000950,1.249790436
1000970,1.261700977
1000980,1.252651667
1001020,1.280504526
1001110,1.274625964
1000990,1.245291169
1001000,1.234582008
1001010,1.228491096
1001030,1.299154047
1001040,1.27769699
1001100,1.293775462
1001050,1.310914914
1001070,1.303474107
1001060,1.319686507
1001080,1.252530136
1001090,1.28845684
1001120,1.258095384
1001130,1.220986265
1001131,1.218941086
1001150,1.254224053
1001210,1.260218024
1001160,1.255478298
1001170,1.252352085
1001180,1.256629296
1001190,1.257306927
1001200,1.252047028
1001230,1.259229651
1001250,1.23006308
1001280,1.235670313
1001290,1.22943583
1001310,1.22871783
1001340,1.252056178
1001350,1.256638497
1001380,1.157880077
1001490,1.178512692
1001530,1.164604337
1001560,1.168537148
1003920,1.166840309
1001531,1.157670297
1001540,1.139890098
1001550,1.144494354
1001570,1.169027713
1001650,1.169360536
1001750,1.169606315
1001760,1.169212726
1001770,1.167841058
1001780,1.167445816
1001790,1.169635919
1001571,1.161886212
1001580,1.148356907
1001610,1.152362946
1001620,1.155954379
1001590,1.15227594
1001600,1.151866096
1001630,1.154801761
1001640,1.160689039
1001651,1.169310627
1001660,1.168821034
1001670,1.168814955
1001680,1.169287521
1001690,1.16791562
1001700,1.162800693
1001710,1.159814787
1001720,1.15659566
1001730,1.15379183
1001740,1.163204482
1001800,1.169566355
1001810,1.170085116
1001820,1.169969906
1001830,1.170237695
1001840,1.170546559
1001850,1.171080067
1001860,1.171465197
1001870,1.172767537
1001880,1.171147714
1001890,1.17306394
1001900,1.177421387
1003900,1.174350577
1003910,1.174788
1001910,1.184775725
1003220,1.177371132
1003230,1.178353397
1003860,1.177559686
1003870,1.178317133
1003880,1.176693681
1003890,1.177996676
1001920,1.189604278
1001930,1.188681648
1001940,1.179355585
1001950,1.188808473
1001960,1.189349586
1001970,1.182075213
1001980,1.181872423
1001990,1.178705955
1002000,1.180686063
1002010,1.181019173
1002020,1.178871902
1002030,1.185923269
1002040,1.186678389
1002050,1.181676215
1002060,1.184359324
1002070,1.185359327
1002080,1.185788554
1002090,1.185116854
1002100,1.185745718
1002140,1.186710536
1002250,1.18632411
1002260,1.186519814
1002270,1.183395065
1002280,1.188570917
1002350,1.186230153
1002490,1.185237967
1002500,1.185162879
1002560,1.187004805
1002570,1.179242729
1002580,1.186866342
1003200,1.186848765
1003210,1.186957924
1002110,1.186112374
1002120,1.186531076
1002130,1.186659015
1002150,1.186938057
1002160,1.187979632
1002230,1.188748049
1002240,1.187364291
1002170,1.188544041
1002210,1.187810101
1002180,1.18799101
1002190,1.189132929
1002200,1.190207095
1002220,1.187448072
1002290,1.190109626
1002300,1.188611755
1002310,1.192249009
1002320,1.197954794
1002330,1.195109141
1002340,1.198405609
1002360,1.185768387
1002400,1.185975307
1002370,1.185601264
1002380,1.185403204
1002390,1.185377761
1002410,1.186303257
1002420,1.185953583
1002450,1.186583231
1002430,1.185909852
1002440,1.186156794
1002460,1.186760994
1002470,1.186864349
1002480,1.18837975
1002510,1.186041771
1002550,1.186061358
1002520,1.186409885
1002530,1.186488455
1002540,1.186526629
1002590,1.188199598
1002600,1.188441742
1003070,1.186283667
1003120,1.187293755
1002610,1.190106133
1003060,1.193107457
1002620,1.192048372
1003050,1.195944391
1002630,1.193039623
1003030,1.18933317
1002640,1.199014293
1003020,1.192315073
1002650,1.196892617
1002660,1.207116746
1002670,1.222103886
1002980,1.209631155
1002990,1.218797544
1003000,1.219546696
1002680,1.222587442
1002790,1.230067644
1002690,1.223010898
1002780,1.209732556
1002700,1.215921077
1002710,1.225560114
1002750,1.230819206
1002720,1.213086377
1002730,1.218019113
1002740,1.227709196
1002760,1.236204847
1002770,1.237528404
1002800,1.235837042
1002810,1.237640569
1002950,1.237493783
1002960,1.237012973
1002820,1.23720085
1002940,1.232122057
1002830,1.238606249
1002890,1.239025493
1002840,1.23680666
1002850,1.229974848
1002880,1.22660455
1002860,1.220262552
1002870,1.219216332
1002900,1.240272276
1002910,1.239255209
1002920,1.237954706
1002930,1.233311416
1002970,1.239789704
1003010,1.207431182
1003040,1.187370105
1003080,1.185224272
1003090,1.184793805
1003100,1.18528966
1003110,1.184877193
1003130,1.186677615
1003140,1.185006765
1003150,1.185173993
1003190,1.186976964
1003160,1.18751947
1003170,1.188658346
1003180,1.193091274
1003240,1.17869132
1003250,1.179077078
1003460,1.1798546
1003260,1.181639955
1003261,1.182852285
1003440,1.183276689
1003450,1.180944356
1003270,1.184445744
1003430,1.185927334
1003280,1.183018223
1003290,1.186753618
1003300,1.188847103
1003330,1.188611884
1003310,1.189369545
1003320,1.188448458
1003340,1.190778319
1003390,1.190830185
1003410,1.189769251
1003350,1.190937855
1003370,1.190362904
1003380,1.191140398
1003360,1.190757943
1003400,1.190556086
1003420,1.188082795
1003470,1.180404888
1003850,1.184198243
1003480,1.180351596
1003490,1.17805771
1003810,1.181471831
1003840,1.178159693
1003500,1.17637842
1003630,1.173888629
1003640,1.178402299
1003510,1.176741047
1003520,1.177058733
1003530,1.174460574
1003540,1.174022268
1003550,1.174432409
1003560,1.17486812
1003580,1.171928541
1003610,1.171485014
1003570,1.173643621
1003590,1.170684408
1003600,1.169108424
1003620,1.169772113
1003650,1.181532665
1003660,1.182748375
1003670,1.184147053
1003680,1.179498476
1003661,1.183948329
1003690,1.179545245
1003750,1.178833378
1003700,1.18181315
1003710,1.181274665
1003720,1.183023621
1003730,1.185578071
1003740,1.188381498
1003751,1.181785025
1003760,1.180109135
1003770,1.178624728
1003780,1.181613398
1003790,1.177210669
1003800,1.178527535
1003820,1.182768443
1003830,1.185449647
1004030,1.177212662
1004050,1.176123154
1004060,1.176980746
1004070,1.177268451
1004080,1.177609909
1004140,1.190022188
1004170,1.170325454
1004180,1.170536861
1004200,1.165896946
1000001,1.200363984
1000010,1.194052486
1000020,1.201191557
1004270,1.190176837
1200010,1.152264841
1200020,1.157614701
1200030,1.157326192
1200040,1.173023305
1200050,1.172412511
1200060,1.173300746
1100011,1.178637372
1300010,1.2016206
1300020,1.209937226
1300030,1.209351016
1300040,1.213876012
1300050,1.217464192
1300060,1.221925041
1300250,1.223818819
1300260,1.225844604
1300270,1.227341977
1300280,1.229926554
1300290,1.236279654
1300300,1.241580809
1300740,1.242484282
1300880,1.244172453
1300890,1.244800754
1301050,1.245746735
1301060,1.247964496
1301070,1.252135228
1301080,1.264307915
1301090,1.270545401
1301100,1.278969272
1301110,1.278170217
1301120,1.279819475
1301130,1.27878823
1301140,1.278508797
1301150,1.277722263
1301160,1.276851483
1301170,1.276380737
1301180,1.275511715
1301190,1.27482607
1301200,1.277668284
1301210,1.274345062
1301220,1.27379331
1301230,1.273535238
1301240,1.272457318
1301250,1.271660127
1300070,1.222252186
1300080,1.219431573
1300090,1.218054148
1300110,1.219154961
1300100,1.216491974
1300120,1.220924449
1300130,1.218725193
1300140,1.217325682
1300150,1.215850451
1300220,1.215973797
1300160,1.21560834
1300170,1.215155604
1300180,1.214998604
1300190,1.214894985
1300200,1.215061576
1103289,1.214570435
1300210,1.214834644
1300230,1.215385792
1300240,1.215290335
1300310,1.2413687
1300730,1.239747899
1300320,1.239174609
1300710,1.237008985
1300330,1.241591584
1300340,1.24306269
1300690,1.235862662
1300350,1.241988445
1300360,1.241240785
1300670,1.242485597
1300370,1.24071855
1300380,1.238172049
1300390,1.239397105
1300400,1.239054343
1300410,1.237663158
1300420,1.23758307
1300570,1.23576313
1300580,1.232019397
1300660,1.236355329
1300430,1.239354594
1300440,1.239409126
1300460,1.238773135
1300450,1.240340143
1300470,1.239796275
1300550,1.239321838
1300560,1.237939375
1300480,1.240636342
1300490,1.239321838
1300500,
1300510,
1300520,1.240891979
1300530,1.240972103
1300540,1.242216836
1300590,1.23476289
1300620,1.226975519
1300600,1.228157085
1300610,1.226745339
1300630,1.223701511
1300640,1.225167954
1300650,1.21962041
1300680,1.240814337
1300700,1.230002288
1300720,1.235827173
1300750,1.242866575
1300860,1.243789008
1300760,1.243439105
1300770,1.243886216
1300780,1.243594504
1300800,1.244261605
1300790,1.243190425
1300810,1.24439633
1300820,1.243189315
1300840,1.244393378
1300850,1.24437657
1300830,1.240708787
1300870,1.242957605
1300900,1.244773036
1300910,1.244503771
1300920,1.244900075
1300930,1.244495171
1300931,1.244445089
1300940,1.244817615
1300950,1.243672189
1301020,1.244437524
1300960,1.243602672
1300970,1.243844692
1300990,1.244388109
1301000,1.243992371
1301010,1.243915952
1300980,1.243106034
1301030,1.244359665
1301040,1.244457485
1400010,1.191645385
1400020,1.196963254
1400030,1.198068401
1400040,1.200872061
1400050,1.20180605
1400060,1.206346928
1400070,1.209934999
1400080,1.210684798
1400090,1.210343323
1400100,1.214100352
1400110,1.214112656
1400120,1.218186802
1400130,1.222092166
1400140,1.225696968
1400150,1.229342938
1400160,1.229324308
1400170,1.23045467
1400180,1.231895278
1400190,1.231828148
1400200,1.232471922
1400210,1.234061555
1400220,1.233193498
1400230,1.2338495
1400240,1.232690719
1400270,1.238042693
1400280,1.236163653
1400290,1.241822713
1400300,1.246692131
1400310,1.253117014
1400320,1.26013019
1400330,1.26668085
1400340,1.264099869
1400350,1.27252805
1400360,1.268425029
1400370,1.27107807
1400380,1.270264193
1400390,1.267383522
1400400,1.267042795
1400410,1.264806642
1400420,1.262178993
1400430,1.260085977
1400440,1.256663643
1400450,1.254879093
1400460,1.251791612
1400470,1.250049638
1400480,1.245981088
1400490,1.245554144
1400500,1.244100657
1400510,1.242688535
1400520,1.240306707
1400530,1.239278524
1400540,1.238251742
1400550,1.236759529
1400560,1.235474423
1400570,1.235203038
1400580,1.23341626
1400590,1.232992145
1400600,1.232483092
1400610,1.232149061
1400620,1.231852105
1400630,1.231532903
1400640,1.231365343
1400650,1.231311397
1400660,1.230607962
1400670,1.230589696
1400680,1.229231682
1400690,1.229453517
1400700,1.227319505
1400710,1.227109589
1400720,1.223888033
1400730,1.225062265
1400740,1.222356151
1400750,1.222801602
1400760,1.217727322
1400770,1.215330344
1400780,1.213449514
1400790,1.219214481
1400830,1.214449645
1400840,1.209526295
1400850,1.206762272
1400860,1.204420602
1400870,1.203091157
1400880,1.200238355
1400890,1.199994606
1400900,1.19925241
1400910,1.197859846
1400920,1.196373253
1400930,1.193329217
1400940,1.237442753
1400950,1.241573657
1400960,1.242425937
1400970,1.244490889
1400980,1.244984931
1400990,1.244248723
1401000,1.244768726
1401010,1.247967028
1401020,1.249345061
1401030,1.257526135
1401040,1.265616929
1401050,1.26911586
1401060,1.269776247
1401070,1.269719245
1401080,1.269833457
1401090,1.268152859
1401100,1.267494861
1401110,1.267572611
1401120,1.266260681
1401130,1.251529516
1401140,1.250926728
1401150,1.24832402
1401160,1.244960739
1401170,1.245450476
1401180,1.239933599
1400250,1.23197014
1400260,1.232001433
1400800,1.225974183
1400810,1.229770752
1400820,1.218747759
